..\dataset\tracks\0.wav,..\dataset\masks\0.npy
..\dataset\tracks\2600.wav,..\dataset\masks\2600.npy
..\dataset\tracks\2601.wav,..\dataset\masks\2601.npy
..\dataset\tracks\2602.wav,..\dataset\masks\2602.npy
..\dataset\tracks\2603.wav,..\dataset\masks\2603.npy
..\dataset\tracks\2604.wav,..\dataset\masks\2604.npy
..\dataset\tracks\2605.wav,..\dataset\masks\2605.npy
..\dataset\tracks\2606.wav,..\dataset\masks\2606.npy
..\dataset\tracks\2607.wav,..\dataset\masks\2607.npy
..\dataset\tracks\2608.wav,..\dataset\masks\2608.npy
..\dataset\tracks\2609.wav,..\dataset\masks\2609.npy
..\dataset\tracks\261.wav,..\dataset\masks\261.npy
..\dataset\tracks\2610.wav,..\dataset\masks\2610.npy
..\dataset\tracks\2611.wav,..\dataset\masks\2611.npy
..\dataset\tracks\2612.wav,..\dataset\masks\2612.npy
..\dataset\tracks\2613.wav,..\dataset\masks\2613.npy
..\dataset\tracks\2614.wav,..\dataset\masks\2614.npy
..\dataset\tracks\2615.wav,..\dataset\masks\2615.npy
..\dataset\tracks\2616.wav,..\dataset\masks\2616.npy
..\dataset\tracks\2617.wav,..\dataset\masks\2617.npy
..\dataset\tracks\2618.wav,..\dataset\masks\2618.npy
..\dataset\tracks\2619.wav,..\dataset\masks\2619.npy
..\dataset\tracks\262.wav,..\dataset\masks\262.npy
..\dataset\tracks\2620.wav,..\dataset\masks\2620.npy
..\dataset\tracks\2621.wav,..\dataset\masks\2621.npy
..\dataset\tracks\2622.wav,..\dataset\masks\2622.npy
..\dataset\tracks\2623.wav,..\dataset\masks\2623.npy
..\dataset\tracks\2624.wav,..\dataset\masks\2624.npy
..\dataset\tracks\2625.wav,..\dataset\masks\2625.npy
..\dataset\tracks\2626.wav,..\dataset\masks\2626.npy
..\dataset\tracks\2627.wav,..\dataset\masks\2627.npy
..\dataset\tracks\2628.wav,..\dataset\masks\2628.npy
..\dataset\tracks\2629.wav,..\dataset\masks\2629.npy
..\dataset\tracks\263.wav,..\dataset\masks\263.npy
..\dataset\tracks\2630.wav,..\dataset\masks\2630.npy
..\dataset\tracks\2631.wav,..\dataset\masks\2631.npy
..\dataset\tracks\2632.wav,..\dataset\masks\2632.npy
..\dataset\tracks\2633.wav,..\dataset\masks\2633.npy
..\dataset\tracks\2634.wav,..\dataset\masks\2634.npy
..\dataset\tracks\2635.wav,..\dataset\masks\2635.npy
..\dataset\tracks\2636.wav,..\dataset\masks\2636.npy
..\dataset\tracks\2637.wav,..\dataset\masks\2637.npy
..\dataset\tracks\2638.wav,..\dataset\masks\2638.npy
..\dataset\tracks\2639.wav,..\dataset\masks\2639.npy
..\dataset\tracks\264.wav,..\dataset\masks\264.npy
..\dataset\tracks\2640.wav,..\dataset\masks\2640.npy
..\dataset\tracks\2641.wav,..\dataset\masks\2641.npy
..\dataset\tracks\2642.wav,..\dataset\masks\2642.npy
..\dataset\tracks\2643.wav,..\dataset\masks\2643.npy
..\dataset\tracks\2644.wav,..\dataset\masks\2644.npy
..\dataset\tracks\2645.wav,..\dataset\masks\2645.npy
..\dataset\tracks\2646.wav,..\dataset\masks\2646.npy
..\dataset\tracks\2647.wav,..\dataset\masks\2647.npy
..\dataset\tracks\2648.wav,..\dataset\masks\2648.npy
..\dataset\tracks\2649.wav,..\dataset\masks\2649.npy
..\dataset\tracks\265.wav,..\dataset\masks\265.npy
..\dataset\tracks\2650.wav,..\dataset\masks\2650.npy
..\dataset\tracks\2651.wav,..\dataset\masks\2651.npy
..\dataset\tracks\2652.wav,..\dataset\masks\2652.npy
..\dataset\tracks\2653.wav,..\dataset\masks\2653.npy
..\dataset\tracks\2654.wav,..\dataset\masks\2654.npy
..\dataset\tracks\2655.wav,..\dataset\masks\2655.npy
..\dataset\tracks\2656.wav,..\dataset\masks\2656.npy
..\dataset\tracks\2657.wav,..\dataset\masks\2657.npy
..\dataset\tracks\2658.wav,..\dataset\masks\2658.npy
..\dataset\tracks\2659.wav,..\dataset\masks\2659.npy
..\dataset\tracks\266.wav,..\dataset\masks\266.npy
..\dataset\tracks\2660.wav,..\dataset\masks\2660.npy
..\dataset\tracks\2661.wav,..\dataset\masks\2661.npy
..\dataset\tracks\2662.wav,..\dataset\masks\2662.npy
..\dataset\tracks\2663.wav,..\dataset\masks\2663.npy
..\dataset\tracks\2664.wav,..\dataset\masks\2664.npy
..\dataset\tracks\2665.wav,..\dataset\masks\2665.npy
..\dataset\tracks\2666.wav,..\dataset\masks\2666.npy
..\dataset\tracks\2667.wav,..\dataset\masks\2667.npy
..\dataset\tracks\2668.wav,..\dataset\masks\2668.npy
..\dataset\tracks\2669.wav,..\dataset\masks\2669.npy
..\dataset\tracks\267.wav,..\dataset\masks\267.npy
..\dataset\tracks\2670.wav,..\dataset\masks\2670.npy
..\dataset\tracks\2671.wav,..\dataset\masks\2671.npy
..\dataset\tracks\2672.wav,..\dataset\masks\2672.npy
..\dataset\tracks\2673.wav,..\dataset\masks\2673.npy
..\dataset\tracks\2674.wav,..\dataset\masks\2674.npy
..\dataset\tracks\2675.wav,..\dataset\masks\2675.npy
..\dataset\tracks\2676.wav,..\dataset\masks\2676.npy
..\dataset\tracks\2677.wav,..\dataset\masks\2677.npy
..\dataset\tracks\2678.wav,..\dataset\masks\2678.npy
..\dataset\tracks\2679.wav,..\dataset\masks\2679.npy
..\dataset\tracks\268.wav,..\dataset\masks\268.npy
..\dataset\tracks\2680.wav,..\dataset\masks\2680.npy
..\dataset\tracks\2681.wav,..\dataset\masks\2681.npy
..\dataset\tracks\2682.wav,..\dataset\masks\2682.npy
..\dataset\tracks\2683.wav,..\dataset\masks\2683.npy
..\dataset\tracks\2684.wav,..\dataset\masks\2684.npy
..\dataset\tracks\2685.wav,..\dataset\masks\2685.npy
..\dataset\tracks\2686.wav,..\dataset\masks\2686.npy
..\dataset\tracks\2687.wav,..\dataset\masks\2687.npy
..\dataset\tracks\2688.wav,..\dataset\masks\2688.npy
..\dataset\tracks\2689.wav,..\dataset\masks\2689.npy
..\dataset\tracks\269.wav,..\dataset\masks\269.npy
..\dataset\tracks\2690.wav,..\dataset\masks\2690.npy
..\dataset\tracks\2691.wav,..\dataset\masks\2691.npy
..\dataset\tracks\2692.wav,..\dataset\masks\2692.npy
..\dataset\tracks\2693.wav,..\dataset\masks\2693.npy
..\dataset\tracks\2694.wav,..\dataset\masks\2694.npy
..\dataset\tracks\2695.wav,..\dataset\masks\2695.npy
..\dataset\tracks\2696.wav,..\dataset\masks\2696.npy
..\dataset\tracks\2697.wav,..\dataset\masks\2697.npy
..\dataset\tracks\2698.wav,..\dataset\masks\2698.npy
..\dataset\tracks\2699.wav,..\dataset\masks\2699.npy
..\dataset\tracks\27.wav,..\dataset\masks\27.npy
..\dataset\tracks\270.wav,..\dataset\masks\270.npy
..\dataset\tracks\2700.wav,..\dataset\masks\2700.npy
..\dataset\tracks\2701.wav,..\dataset\masks\2701.npy
..\dataset\tracks\2702.wav,..\dataset\masks\2702.npy
..\dataset\tracks\2703.wav,..\dataset\masks\2703.npy
..\dataset\tracks\2704.wav,..\dataset\masks\2704.npy
..\dataset\tracks\2705.wav,..\dataset\masks\2705.npy
..\dataset\tracks\2706.wav,..\dataset\masks\2706.npy
..\dataset\tracks\2707.wav,..\dataset\masks\2707.npy
..\dataset\tracks\2708.wav,..\dataset\masks\2708.npy
..\dataset\tracks\2709.wav,..\dataset\masks\2709.npy
..\dataset\tracks\271.wav,..\dataset\masks\271.npy
..\dataset\tracks\2710.wav,..\dataset\masks\2710.npy
..\dataset\tracks\2711.wav,..\dataset\masks\2711.npy
..\dataset\tracks\2712.wav,..\dataset\masks\2712.npy
..\dataset\tracks\2713.wav,..\dataset\masks\2713.npy
..\dataset\tracks\2714.wav,..\dataset\masks\2714.npy
..\dataset\tracks\2715.wav,..\dataset\masks\2715.npy
..\dataset\tracks\2716.wav,..\dataset\masks\2716.npy
..\dataset\tracks\2717.wav,..\dataset\masks\2717.npy
..\dataset\tracks\2718.wav,..\dataset\masks\2718.npy
..\dataset\tracks\2719.wav,..\dataset\masks\2719.npy
..\dataset\tracks\272.wav,..\dataset\masks\272.npy
..\dataset\tracks\2720.wav,..\dataset\masks\2720.npy
..\dataset\tracks\2721.wav,..\dataset\masks\2721.npy
..\dataset\tracks\2722.wav,..\dataset\masks\2722.npy
..\dataset\tracks\2723.wav,..\dataset\masks\2723.npy
..\dataset\tracks\2724.wav,..\dataset\masks\2724.npy
..\dataset\tracks\2725.wav,..\dataset\masks\2725.npy
..\dataset\tracks\2726.wav,..\dataset\masks\2726.npy
..\dataset\tracks\2727.wav,..\dataset\masks\2727.npy
..\dataset\tracks\2728.wav,..\dataset\masks\2728.npy
..\dataset\tracks\2729.wav,..\dataset\masks\2729.npy
..\dataset\tracks\273.wav,..\dataset\masks\273.npy
..\dataset\tracks\2730.wav,..\dataset\masks\2730.npy
..\dataset\tracks\2731.wav,..\dataset\masks\2731.npy
..\dataset\tracks\2732.wav,..\dataset\masks\2732.npy
..\dataset\tracks\2733.wav,..\dataset\masks\2733.npy
..\dataset\tracks\2734.wav,..\dataset\masks\2734.npy
..\dataset\tracks\2735.wav,..\dataset\masks\2735.npy
..\dataset\tracks\2736.wav,..\dataset\masks\2736.npy
..\dataset\tracks\2737.wav,..\dataset\masks\2737.npy
..\dataset\tracks\2738.wav,..\dataset\masks\2738.npy
..\dataset\tracks\2739.wav,..\dataset\masks\2739.npy
..\dataset\tracks\274.wav,..\dataset\masks\274.npy
..\dataset\tracks\2740.wav,..\dataset\masks\2740.npy
..\dataset\tracks\2741.wav,..\dataset\masks\2741.npy
..\dataset\tracks\2742.wav,..\dataset\masks\2742.npy
..\dataset\tracks\2743.wav,..\dataset\masks\2743.npy
..\dataset\tracks\2744.wav,..\dataset\masks\2744.npy
..\dataset\tracks\2745.wav,..\dataset\masks\2745.npy
..\dataset\tracks\2746.wav,..\dataset\masks\2746.npy
..\dataset\tracks\2747.wav,..\dataset\masks\2747.npy
..\dataset\tracks\2748.wav,..\dataset\masks\2748.npy
..\dataset\tracks\2749.wav,..\dataset\masks\2749.npy
..\dataset\tracks\275.wav,..\dataset\masks\275.npy
..\dataset\tracks\2750.wav,..\dataset\masks\2750.npy
..\dataset\tracks\2751.wav,..\dataset\masks\2751.npy
..\dataset\tracks\2752.wav,..\dataset\masks\2752.npy
..\dataset\tracks\2753.wav,..\dataset\masks\2753.npy
..\dataset\tracks\2754.wav,..\dataset\masks\2754.npy
..\dataset\tracks\2755.wav,..\dataset\masks\2755.npy
..\dataset\tracks\2756.wav,..\dataset\masks\2756.npy
..\dataset\tracks\2757.wav,..\dataset\masks\2757.npy
..\dataset\tracks\2758.wav,..\dataset\masks\2758.npy
..\dataset\tracks\2759.wav,..\dataset\masks\2759.npy
..\dataset\tracks\276.wav,..\dataset\masks\276.npy
..\dataset\tracks\2760.wav,..\dataset\masks\2760.npy
..\dataset\tracks\2761.wav,..\dataset\masks\2761.npy
..\dataset\tracks\2762.wav,..\dataset\masks\2762.npy
..\dataset\tracks\2763.wav,..\dataset\masks\2763.npy
..\dataset\tracks\2764.wav,..\dataset\masks\2764.npy
..\dataset\tracks\2765.wav,..\dataset\masks\2765.npy
..\dataset\tracks\2766.wav,..\dataset\masks\2766.npy
..\dataset\tracks\2767.wav,..\dataset\masks\2767.npy
..\dataset\tracks\2768.wav,..\dataset\masks\2768.npy
..\dataset\tracks\2769.wav,..\dataset\masks\2769.npy
..\dataset\tracks\277.wav,..\dataset\masks\277.npy
..\dataset\tracks\2770.wav,..\dataset\masks\2770.npy
..\dataset\tracks\2771.wav,..\dataset\masks\2771.npy
..\dataset\tracks\2772.wav,..\dataset\masks\2772.npy
..\dataset\tracks\2773.wav,..\dataset\masks\2773.npy
..\dataset\tracks\2774.wav,..\dataset\masks\2774.npy
..\dataset\tracks\2775.wav,..\dataset\masks\2775.npy
..\dataset\tracks\2776.wav,..\dataset\masks\2776.npy
..\dataset\tracks\2777.wav,..\dataset\masks\2777.npy
..\dataset\tracks\2778.wav,..\dataset\masks\2778.npy
..\dataset\tracks\2779.wav,..\dataset\masks\2779.npy
..\dataset\tracks\278.wav,..\dataset\masks\278.npy
..\dataset\tracks\2780.wav,..\dataset\masks\2780.npy
..\dataset\tracks\2781.wav,..\dataset\masks\2781.npy
..\dataset\tracks\2782.wav,..\dataset\masks\2782.npy
..\dataset\tracks\2783.wav,..\dataset\masks\2783.npy
..\dataset\tracks\2784.wav,..\dataset\masks\2784.npy
..\dataset\tracks\2785.wav,..\dataset\masks\2785.npy
..\dataset\tracks\2786.wav,..\dataset\masks\2786.npy
..\dataset\tracks\2787.wav,..\dataset\masks\2787.npy
..\dataset\tracks\2788.wav,..\dataset\masks\2788.npy
..\dataset\tracks\2789.wav,..\dataset\masks\2789.npy
..\dataset\tracks\279.wav,..\dataset\masks\279.npy
..\dataset\tracks\2790.wav,..\dataset\masks\2790.npy
..\dataset\tracks\2791.wav,..\dataset\masks\2791.npy
..\dataset\tracks\2792.wav,..\dataset\masks\2792.npy
..\dataset\tracks\2793.wav,..\dataset\masks\2793.npy
..\dataset\tracks\2794.wav,..\dataset\masks\2794.npy
..\dataset\tracks\2795.wav,..\dataset\masks\2795.npy
..\dataset\tracks\2796.wav,..\dataset\masks\2796.npy
..\dataset\tracks\2797.wav,..\dataset\masks\2797.npy
..\dataset\tracks\2798.wav,..\dataset\masks\2798.npy
..\dataset\tracks\2799.wav,..\dataset\masks\2799.npy
..\dataset\tracks\28.wav,..\dataset\masks\28.npy
..\dataset\tracks\280.wav,..\dataset\masks\280.npy
..\dataset\tracks\2800.wav,..\dataset\masks\2800.npy
..\dataset\tracks\2801.wav,..\dataset\masks\2801.npy
..\dataset\tracks\2802.wav,..\dataset\masks\2802.npy
..\dataset\tracks\2803.wav,..\dataset\masks\2803.npy
..\dataset\tracks\2804.wav,..\dataset\masks\2804.npy
..\dataset\tracks\2805.wav,..\dataset\masks\2805.npy
..\dataset\tracks\2806.wav,..\dataset\masks\2806.npy
..\dataset\tracks\2807.wav,..\dataset\masks\2807.npy
..\dataset\tracks\2808.wav,..\dataset\masks\2808.npy
..\dataset\tracks\2809.wav,..\dataset\masks\2809.npy
..\dataset\tracks\281.wav,..\dataset\masks\281.npy
..\dataset\tracks\2810.wav,..\dataset\masks\2810.npy
..\dataset\tracks\2811.wav,..\dataset\masks\2811.npy
..\dataset\tracks\2812.wav,..\dataset\masks\2812.npy
..\dataset\tracks\2813.wav,..\dataset\masks\2813.npy
..\dataset\tracks\2814.wav,..\dataset\masks\2814.npy
..\dataset\tracks\2815.wav,..\dataset\masks\2815.npy
..\dataset\tracks\2816.wav,..\dataset\masks\2816.npy
..\dataset\tracks\2817.wav,..\dataset\masks\2817.npy
..\dataset\tracks\2818.wav,..\dataset\masks\2818.npy
..\dataset\tracks\2819.wav,..\dataset\masks\2819.npy
..\dataset\tracks\282.wav,..\dataset\masks\282.npy
..\dataset\tracks\2820.wav,..\dataset\masks\2820.npy
..\dataset\tracks\2821.wav,..\dataset\masks\2821.npy
..\dataset\tracks\2822.wav,..\dataset\masks\2822.npy
..\dataset\tracks\2823.wav,..\dataset\masks\2823.npy
..\dataset\tracks\2824.wav,..\dataset\masks\2824.npy
..\dataset\tracks\2825.wav,..\dataset\masks\2825.npy
..\dataset\tracks\2826.wav,..\dataset\masks\2826.npy
..\dataset\tracks\2827.wav,..\dataset\masks\2827.npy
..\dataset\tracks\2828.wav,..\dataset\masks\2828.npy
..\dataset\tracks\2829.wav,..\dataset\masks\2829.npy
..\dataset\tracks\283.wav,..\dataset\masks\283.npy
..\dataset\tracks\2830.wav,..\dataset\masks\2830.npy
..\dataset\tracks\2831.wav,..\dataset\masks\2831.npy
..\dataset\tracks\2832.wav,..\dataset\masks\2832.npy
..\dataset\tracks\2833.wav,..\dataset\masks\2833.npy
..\dataset\tracks\2834.wav,..\dataset\masks\2834.npy
..\dataset\tracks\2835.wav,..\dataset\masks\2835.npy
..\dataset\tracks\2836.wav,..\dataset\masks\2836.npy
..\dataset\tracks\2837.wav,..\dataset\masks\2837.npy
..\dataset\tracks\2838.wav,..\dataset\masks\2838.npy
..\dataset\tracks\2839.wav,..\dataset\masks\2839.npy
..\dataset\tracks\284.wav,..\dataset\masks\284.npy
..\dataset\tracks\2840.wav,..\dataset\masks\2840.npy
..\dataset\tracks\2841.wav,..\dataset\masks\2841.npy
..\dataset\tracks\2842.wav,..\dataset\masks\2842.npy
..\dataset\tracks\2843.wav,..\dataset\masks\2843.npy
..\dataset\tracks\2844.wav,..\dataset\masks\2844.npy
..\dataset\tracks\2845.wav,..\dataset\masks\2845.npy
..\dataset\tracks\2846.wav,..\dataset\masks\2846.npy
..\dataset\tracks\2847.wav,..\dataset\masks\2847.npy
..\dataset\tracks\2848.wav,..\dataset\masks\2848.npy
..\dataset\tracks\2849.wav,..\dataset\masks\2849.npy
..\dataset\tracks\285.wav,..\dataset\masks\285.npy
..\dataset\tracks\2850.wav,..\dataset\masks\2850.npy
..\dataset\tracks\2851.wav,..\dataset\masks\2851.npy
..\dataset\tracks\2852.wav,..\dataset\masks\2852.npy
..\dataset\tracks\2853.wav,..\dataset\masks\2853.npy
..\dataset\tracks\2854.wav,..\dataset\masks\2854.npy
..\dataset\tracks\2855.wav,..\dataset\masks\2855.npy
..\dataset\tracks\2856.wav,..\dataset\masks\2856.npy
..\dataset\tracks\2857.wav,..\dataset\masks\2857.npy
..\dataset\tracks\2858.wav,..\dataset\masks\2858.npy
..\dataset\tracks\2859.wav,..\dataset\masks\2859.npy
..\dataset\tracks\286.wav,..\dataset\masks\286.npy
..\dataset\tracks\2860.wav,..\dataset\masks\2860.npy
..\dataset\tracks\2861.wav,..\dataset\masks\2861.npy
..\dataset\tracks\2862.wav,..\dataset\masks\2862.npy
..\dataset\tracks\2863.wav,..\dataset\masks\2863.npy
..\dataset\tracks\2864.wav,..\dataset\masks\2864.npy
..\dataset\tracks\2865.wav,..\dataset\masks\2865.npy
..\dataset\tracks\2866.wav,..\dataset\masks\2866.npy
..\dataset\tracks\2867.wav,..\dataset\masks\2867.npy
..\dataset\tracks\2868.wav,..\dataset\masks\2868.npy
..\dataset\tracks\2869.wav,..\dataset\masks\2869.npy
..\dataset\tracks\287.wav,..\dataset\masks\287.npy
..\dataset\tracks\2870.wav,..\dataset\masks\2870.npy
..\dataset\tracks\2871.wav,..\dataset\masks\2871.npy
..\dataset\tracks\2872.wav,..\dataset\masks\2872.npy
..\dataset\tracks\2873.wav,..\dataset\masks\2873.npy
..\dataset\tracks\2874.wav,..\dataset\masks\2874.npy
..\dataset\tracks\2875.wav,..\dataset\masks\2875.npy
..\dataset\tracks\2876.wav,..\dataset\masks\2876.npy
..\dataset\tracks\2877.wav,..\dataset\masks\2877.npy
..\dataset\tracks\2878.wav,..\dataset\masks\2878.npy
..\dataset\tracks\2879.wav,..\dataset\masks\2879.npy
..\dataset\tracks\288.wav,..\dataset\masks\288.npy
..\dataset\tracks\2880.wav,..\dataset\masks\2880.npy
..\dataset\tracks\2881.wav,..\dataset\masks\2881.npy
..\dataset\tracks\2882.wav,..\dataset\masks\2882.npy
..\dataset\tracks\2883.wav,..\dataset\masks\2883.npy
..\dataset\tracks\2884.wav,..\dataset\masks\2884.npy
..\dataset\tracks\2885.wav,..\dataset\masks\2885.npy
..\dataset\tracks\2886.wav,..\dataset\masks\2886.npy
..\dataset\tracks\2887.wav,..\dataset\masks\2887.npy
..\dataset\tracks\2888.wav,..\dataset\masks\2888.npy
..\dataset\tracks\2889.wav,..\dataset\masks\2889.npy
..\dataset\tracks\289.wav,..\dataset\masks\289.npy
..\dataset\tracks\2890.wav,..\dataset\masks\2890.npy
..\dataset\tracks\2891.wav,..\dataset\masks\2891.npy
..\dataset\tracks\2892.wav,..\dataset\masks\2892.npy
..\dataset\tracks\2893.wav,..\dataset\masks\2893.npy
..\dataset\tracks\2894.wav,..\dataset\masks\2894.npy
..\dataset\tracks\2895.wav,..\dataset\masks\2895.npy
..\dataset\tracks\2896.wav,..\dataset\masks\2896.npy
..\dataset\tracks\2897.wav,..\dataset\masks\2897.npy
..\dataset\tracks\2898.wav,..\dataset\masks\2898.npy
..\dataset\tracks\2899.wav,..\dataset\masks\2899.npy
..\dataset\tracks\29.wav,..\dataset\masks\29.npy
..\dataset\tracks\290.wav,..\dataset\masks\290.npy
..\dataset\tracks\2900.wav,..\dataset\masks\2900.npy
..\dataset\tracks\2901.wav,..\dataset\masks\2901.npy
..\dataset\tracks\2902.wav,..\dataset\masks\2902.npy
..\dataset\tracks\2903.wav,..\dataset\masks\2903.npy
..\dataset\tracks\2904.wav,..\dataset\masks\2904.npy
..\dataset\tracks\2905.wav,..\dataset\masks\2905.npy
..\dataset\tracks\2906.wav,..\dataset\masks\2906.npy
..\dataset\tracks\2907.wav,..\dataset\masks\2907.npy
..\dataset\tracks\2908.wav,..\dataset\masks\2908.npy
..\dataset\tracks\2909.wav,..\dataset\masks\2909.npy
..\dataset\tracks\291.wav,..\dataset\masks\291.npy
..\dataset\tracks\2910.wav,..\dataset\masks\2910.npy
..\dataset\tracks\2911.wav,..\dataset\masks\2911.npy
..\dataset\tracks\2912.wav,..\dataset\masks\2912.npy
..\dataset\tracks\2913.wav,..\dataset\masks\2913.npy
..\dataset\tracks\2914.wav,..\dataset\masks\2914.npy
..\dataset\tracks\2915.wav,..\dataset\masks\2915.npy
..\dataset\tracks\2916.wav,..\dataset\masks\2916.npy
..\dataset\tracks\2917.wav,..\dataset\masks\2917.npy
..\dataset\tracks\2918.wav,..\dataset\masks\2918.npy
..\dataset\tracks\2919.wav,..\dataset\masks\2919.npy
..\dataset\tracks\292.wav,..\dataset\masks\292.npy
..\dataset\tracks\2920.wav,..\dataset\masks\2920.npy
..\dataset\tracks\2921.wav,..\dataset\masks\2921.npy
..\dataset\tracks\2922.wav,..\dataset\masks\2922.npy
..\dataset\tracks\2923.wav,..\dataset\masks\2923.npy
..\dataset\tracks\2924.wav,..\dataset\masks\2924.npy
..\dataset\tracks\2925.wav,..\dataset\masks\2925.npy
..\dataset\tracks\2926.wav,..\dataset\masks\2926.npy
..\dataset\tracks\2927.wav,..\dataset\masks\2927.npy
..\dataset\tracks\2928.wav,..\dataset\masks\2928.npy
..\dataset\tracks\2929.wav,..\dataset\masks\2929.npy
..\dataset\tracks\293.wav,..\dataset\masks\293.npy
..\dataset\tracks\2930.wav,..\dataset\masks\2930.npy
..\dataset\tracks\2931.wav,..\dataset\masks\2931.npy
..\dataset\tracks\2932.wav,..\dataset\masks\2932.npy
..\dataset\tracks\2933.wav,..\dataset\masks\2933.npy
..\dataset\tracks\2934.wav,..\dataset\masks\2934.npy
..\dataset\tracks\2935.wav,..\dataset\masks\2935.npy
..\dataset\tracks\2936.wav,..\dataset\masks\2936.npy
..\dataset\tracks\2937.wav,..\dataset\masks\2937.npy
..\dataset\tracks\2938.wav,..\dataset\masks\2938.npy
..\dataset\tracks\2939.wav,..\dataset\masks\2939.npy
..\dataset\tracks\294.wav,..\dataset\masks\294.npy
..\dataset\tracks\2940.wav,..\dataset\masks\2940.npy
..\dataset\tracks\2941.wav,..\dataset\masks\2941.npy
..\dataset\tracks\2942.wav,..\dataset\masks\2942.npy
..\dataset\tracks\2943.wav,..\dataset\masks\2943.npy
..\dataset\tracks\2944.wav,..\dataset\masks\2944.npy
..\dataset\tracks\2945.wav,..\dataset\masks\2945.npy
..\dataset\tracks\2946.wav,..\dataset\masks\2946.npy
..\dataset\tracks\2947.wav,..\dataset\masks\2947.npy
..\dataset\tracks\2948.wav,..\dataset\masks\2948.npy
..\dataset\tracks\2949.wav,..\dataset\masks\2949.npy
..\dataset\tracks\295.wav,..\dataset\masks\295.npy
..\dataset\tracks\2950.wav,..\dataset\masks\2950.npy
..\dataset\tracks\2951.wav,..\dataset\masks\2951.npy
..\dataset\tracks\2952.wav,..\dataset\masks\2952.npy
..\dataset\tracks\2953.wav,..\dataset\masks\2953.npy
..\dataset\tracks\2954.wav,..\dataset\masks\2954.npy
..\dataset\tracks\2955.wav,..\dataset\masks\2955.npy
..\dataset\tracks\2956.wav,..\dataset\masks\2956.npy
..\dataset\tracks\2957.wav,..\dataset\masks\2957.npy
..\dataset\tracks\2958.wav,..\dataset\masks\2958.npy
..\dataset\tracks\2959.wav,..\dataset\masks\2959.npy
..\dataset\tracks\296.wav,..\dataset\masks\296.npy
..\dataset\tracks\2960.wav,..\dataset\masks\2960.npy
..\dataset\tracks\2961.wav,..\dataset\masks\2961.npy
..\dataset\tracks\2962.wav,..\dataset\masks\2962.npy
..\dataset\tracks\2963.wav,..\dataset\masks\2963.npy
..\dataset\tracks\2964.wav,..\dataset\masks\2964.npy
..\dataset\tracks\2965.wav,..\dataset\masks\2965.npy
..\dataset\tracks\2966.wav,..\dataset\masks\2966.npy
..\dataset\tracks\2967.wav,..\dataset\masks\2967.npy
..\dataset\tracks\2968.wav,..\dataset\masks\2968.npy
..\dataset\tracks\2969.wav,..\dataset\masks\2969.npy
..\dataset\tracks\297.wav,..\dataset\masks\297.npy
..\dataset\tracks\2970.wav,..\dataset\masks\2970.npy
..\dataset\tracks\2971.wav,..\dataset\masks\2971.npy
..\dataset\tracks\2972.wav,..\dataset\masks\2972.npy
..\dataset\tracks\2973.wav,..\dataset\masks\2973.npy
..\dataset\tracks\2974.wav,..\dataset\masks\2974.npy
..\dataset\tracks\2975.wav,..\dataset\masks\2975.npy
..\dataset\tracks\2976.wav,..\dataset\masks\2976.npy
..\dataset\tracks\2977.wav,..\dataset\masks\2977.npy
..\dataset\tracks\2978.wav,..\dataset\masks\2978.npy
..\dataset\tracks\2979.wav,..\dataset\masks\2979.npy
..\dataset\tracks\298.wav,..\dataset\masks\298.npy
..\dataset\tracks\2980.wav,..\dataset\masks\2980.npy
..\dataset\tracks\2981.wav,..\dataset\masks\2981.npy
..\dataset\tracks\2982.wav,..\dataset\masks\2982.npy
..\dataset\tracks\2983.wav,..\dataset\masks\2983.npy
..\dataset\tracks\2984.wav,..\dataset\masks\2984.npy
..\dataset\tracks\2985.wav,..\dataset\masks\2985.npy
..\dataset\tracks\2986.wav,..\dataset\masks\2986.npy
..\dataset\tracks\2987.wav,..\dataset\masks\2987.npy
..\dataset\tracks\2988.wav,..\dataset\masks\2988.npy
..\dataset\tracks\2989.wav,..\dataset\masks\2989.npy
..\dataset\tracks\299.wav,..\dataset\masks\299.npy
..\dataset\tracks\2990.wav,..\dataset\masks\2990.npy
..\dataset\tracks\2991.wav,..\dataset\masks\2991.npy
..\dataset\tracks\2992.wav,..\dataset\masks\2992.npy
..\dataset\tracks\2993.wav,..\dataset\masks\2993.npy
..\dataset\tracks\2994.wav,..\dataset\masks\2994.npy
..\dataset\tracks\2995.wav,..\dataset\masks\2995.npy
..\dataset\tracks\2996.wav,..\dataset\masks\2996.npy
..\dataset\tracks\2997.wav,..\dataset\masks\2997.npy
..\dataset\tracks\2998.wav,..\dataset\masks\2998.npy
..\dataset\tracks\2999.wav,..\dataset\masks\2999.npy
..\dataset\tracks\3.wav,..\dataset\masks\3.npy
..\dataset\tracks\30.wav,..\dataset\masks\30.npy
..\dataset\tracks\300.wav,..\dataset\masks\300.npy
..\dataset\tracks\3000.wav,..\dataset\masks\3000.npy
..\dataset\tracks\3001.wav,..\dataset\masks\3001.npy
..\dataset\tracks\3002.wav,..\dataset\masks\3002.npy
..\dataset\tracks\3003.wav,..\dataset\masks\3003.npy
..\dataset\tracks\3004.wav,..\dataset\masks\3004.npy
..\dataset\tracks\3005.wav,..\dataset\masks\3005.npy
..\dataset\tracks\3006.wav,..\dataset\masks\3006.npy
..\dataset\tracks\3007.wav,..\dataset\masks\3007.npy
